Subject,Session,Age,Trial,SubTrial,ItemType,Topic,Target,Alternate,TestCue,TestItem.RESP,OtherAnswer.RESP,P1.Recall.Class,P2.Recall.Class,Belief.RESP,CR.RESP
131,3,19,3,21,Changed_R,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,droppedby25percent,droppedby40percent,1,2,3,1
131,3,19,3,22,Control,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,12percent,,,E,3,2
131,3,19,3,23,Repeated,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,cities,,,2,4,2
131,3,19,3,24,Changed_R,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,1mil,mil,2,2,3,1
131,3,19,3,25,Control,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,itdoesntcauseautism,,,2,3,2
131,3,19,3,26,Control,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",togetmoneyfromsanctuarycities,,,2,3,2
131,3,19,3,27,Repeated,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,soyouwantgetwhiplash,,,2,4,2
131,3,19,3,28,Changed_NR,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",smallaestroid,smallmoon,1,2,3,1
131,3,19,3,29,Changed_R,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,itdoesnt,thesnowisincreasingmorethantheiceismelting,1,E,4,1
131,3,19,3,30,Repeated,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,vaccine,,,2,4,2
131,3,19,3,31,Changed_R,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,recession,0,B,2,3,1
131,3,19,3,32,Changed_R,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,everyyear,thathadentgotaraisein10years,1,2,3,1
131,3,19,3,33,Changed_NR,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15percet,5,E,2,4,1
131,3,19,3,34,Changed_R,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,coal,thatwindlefalargerfootprintthancoal,1,2,3,1
131,3,19,3,35,Changed_NR,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,obama,trump,1,2,3,1
131,3,19,3,36,Repeated,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,15,,,2,6,2
131,3,19,3,37,Repeated,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,,,,B,3,2
131,3,19,3,38,Control,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,immigrantfamiliesbeingseperated,,,1,6,2
131,3,19,3,39,Repeated,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,,,2,3,2
131,3,19,3,40,Control,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,theysued,,,2,4,2
131,3,19,3,41,Control,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,,,2,3,2
131,3,19,3,42,Changed_NR,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",christianswhoownguns,,,1,3,2
131,3,19,3,43,Changed_R,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,8percent,36percent,1,2,4,1
131,3,19,3,44,Control,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,therewasnone,,,2,3,2
131,3,19,3,45,Control,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,oil,,,2,3,2
131,3,19,3,46,Changed_R,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,olympians,nflplayers,1,2,6,1
131,3,19,3,47,Changed_NR,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,medicare,waronterror,1,2,4,1
131,3,19,3,48,Changed_R,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,hesnotlikelytoo,hewasliklytorunin2020,1,2,3,1
131,3,19,3,49,Changed_NR,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,42,ithadntsince1946,1,2,3,1
131,3,19,3,50,Repeated,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,13,,,2,3,2
131,3,19,3,51,Control,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",lessthananyotherpresident,,,2,5,2
131,3,19,3,52,Repeated,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2012,,,2,3,2
131,3,19,3,53,Changed_NR,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,autoimmunedieases,0,B,2,4,1
131,3,19,3,54,Control,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,14mil,,,E,3,2
131,3,19,3,55,Changed_NR,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,270,,,1,3,2
131,3,19,3,56,Changed_R,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,itwentup25percent,,,1,3,2
131,3,19,3,57,Repeated,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,,,2,4,2
131,3,19,3,58,Changed_NR,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,clintion,obama,1,2,3,1
131,3,19,3,59,Changed_NR,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,15,,,E,3,2
131,3,19,3,60,Changed_NR,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,iftheyhaveawarrant,0,B,2,3,1
132,4,18,3,1,Changed_NR,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,1996,1996,1,1,4,1
132,4,18,3,2,Control,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,football,,,1,3,2
132,4,18,3,3,Changed_NR,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,tobreakawindow,0,B,1,3,1
132,4,18,3,4,Control,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,,,,B,5,2
132,4,18,3,5,Control,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,,,,B,3,2
132,4,18,3,6,Repeated,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,therewasnofraud,,,2,2,2
132,4,18,3,7,Changed_R,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,trump,,,1,2,2
132,4,18,3,8,Control,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,,0,B,B,2,1
132,4,18,3,9,Changed_R,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,,,,B,3,2
132,4,18,3,10,Changed_R,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,simulatedrunningintoapedestrian,droppingabowlingballoiy,1,2,4,1
132,4,18,3,11,Changed_R,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,40,,,E,2,2
132,4,18,3,12,Control,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,,,,B,3,2
132,4,18,3,13,Control,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,,,,B,3,2
132,4,18,3,14,Repeated,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,,,,B,3,2
132,4,18,3,15,Repeated,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,vaccinesdonotcauseautism,,,2,6,2
132,4,18,3,16,Changed_NR,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,20,,,E,2,2
132,4,18,3,17,Changed_R,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",,,,B,2,2
132,4,18,3,18,Control,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,,,,B,2,2
132,4,18,3,19,Changed_R,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,2million,1,2,1,1
132,4,18,3,20,Changed_NR,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,plannedparenthood,,,1,3,2
132,4,18,3,21,Changed_R,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,,,,B,3,2
132,4,18,3,22,Changed_NR,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,4,,,E,3,2
132,4,18,3,23,Changed_NR,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",,,,B,3,2
132,4,18,3,24,Repeated,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,,,,B,3,2
132,4,18,3,25,Changed_NR,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,270,,,1,3,2
132,4,18,3,26,Repeated,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",,,,B,3,2
132,4,18,3,27,Changed_R,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,13million,,,2,3,2
132,4,18,3,28,Changed_NR,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,stayinghydrated,,,1,3,2
132,4,18,3,29,Repeated,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,immigration,,,E,6,2
132,4,18,3,30,Changed_R,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,4,2
132,4,18,3,31,Repeated,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",,,,E,3,2
132,4,18,3,32,Repeated,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,,,,B,3,2
132,4,18,3,33,Control,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,,,,B,3,2
132,4,18,3,34,Control,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,1million,,,2,6,2
132,4,18,3,35,Changed_NR,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",,,,B,3,2
132,4,18,3,36,Changed_R,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,BarackObama,,,1,6,2
132,4,18,3,37,Changed_NR,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,citizens,,,1,6,2
132,4,18,3,38,Control,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,hillaryclinton,,,2,6,2
132,4,18,3,39,Changed_R,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,,,,B,3,2
132,4,18,3,40,Changed_R,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,,,2,6,2
132,4,18,3,41,Repeated,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,alcohol,,,2,5,2
132,4,18,3,42,Repeated,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,,,2,3,2
132,4,18,3,43,Changed_NR,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",ronaldreagan,,,E,6,2
132,4,18,3,44,Control,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,,,,B,6,2
132,4,18,3,45,Changed_R,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,100,,,E,3,2
132,4,18,3,46,Repeated,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1998,,,E,6,2
132,4,18,3,47,Repeated,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",,,,B,3,2
132,4,18,3,48,Repeated,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,governor,,,2,6,2
132,4,18,3,49,Changed_NR,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,,,,B,6,2
132,4,18,3,50,Changed_NR,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,alotofschoolsdontgetsupplies,,,1,6,2
132,4,18,3,51,Control,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,,,,B,6,2
132,4,18,3,52,Changed_R,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",,,,B,2,2
132,4,18,3,53,Repeated,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,,,,B,6,2
132,4,18,3,54,Repeated,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,,,,B,3,2
132,4,18,3,55,Changed_R,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,becausetheyfeellikeithavenorespect,,,E,6,2
132,4,18,3,56,Control,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,increased,,,E,6,2
132,4,18,3,57,Changed_NR,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prochoice,,,1,5,2
132,4,18,3,58,Control,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,,,,B,3,2
132,4,18,3,59,Control,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,,hewouldntrun,2,B,5,1
132,4,18,3,60,Changed_NR,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",under18,,,E,6,2
133,1,18,3,1,Repeated,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,,0,B,B,5,1
133,1,18,3,2,Repeated,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,itwontbattherateoftheicemelting,no,E,2,6,1
133,1,18,3,3,Changed_R,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,togetvaccinated,tobehydrated,1,2,6,1
133,1,18,3,4,Changed_R,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,thecities,homeowners,1,2,6,1
133,1,18,3,5,Changed_R,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,noone,Plannedparenthoodandnra,E,2,6,1
133,1,18,3,6,Changed_R,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,0,0,1,1,6,1
133,1,18,3,7,Changed_NR,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,0,E,2,6,1
133,1,18,3,8,Repeated,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,,0,B,B,1,1
133,1,18,3,9,Changed_R,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,15th,0,E,2,6,1
133,1,18,3,10,Changed_R,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,13,25,1,2,5,1
133,1,18,3,11,Changed_NR,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,oil,0,B,2,5,1
133,1,18,3,12,Changed_R,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,19,270,1,2,6,1
133,1,18,3,13,Repeated,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,,0,E,B,1,1
133,1,18,3,14,Changed_R,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,,0,B,B,1,1
133,1,18,3,15,Changed_R,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",weconsumemorethanweproduce,weproducemorethanweconsume,1,2,6,1
133,1,18,3,16,Changed_NR,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,theysuedtheUS,theysupportedit,1,2,3,1
133,1,18,3,17,Changed_NR,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,,,,B,1,2
133,1,18,3,18,Changed_NR,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,toprotest,,,2,3,2
133,1,18,3,19,Changed_NR,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,weed,alcohol,2,1,6,1
133,1,18,3,20,Repeated,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,,,,B,1,2
133,1,18,3,21,Changed_R,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2012,0,B,2,5,1
133,1,18,3,22,Control,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,,,,B,1,2
133,1,18,3,23,Repeated,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,,,,B,3,2
133,1,18,3,24,Control,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,obama,0,B,2,6,1
133,1,18,3,25,Control,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,,0,B,B,3,1
133,1,18,3,26,Repeated,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,allages,,,2,6,2
133,1,18,3,27,Control,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,,,2,6,2
133,1,18,3,28,Changed_NR,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,,,,B,3,2
133,1,18,3,29,Control,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,,,,B,3,2
133,1,18,3,30,Changed_NR,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,itdoesnotcauseautism,itdoescauseautism,1,2,6,1
133,1,18,3,31,Control,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,clinton,,,2,5,2
133,1,18,3,32,Changed_NR,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",2007,1928,E,E,6,1
133,1,18,3,33,Repeated,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,,0,B,B,1,1
133,1,18,3,34,Control,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,,,,B,1,2
133,1,18,3,35,Changed_R,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,prochoice,1,2,6,1
133,1,18,3,36,Changed_R,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,whilash,0,E,2,6,1
133,1,18,3,37,Repeated,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,40,0,B,E,3,1
133,1,18,3,38,Repeated,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,hillaryclinton,,,2,6,2
133,1,18,3,39,Changed_NR,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,24billion,,,E,2,2
133,1,18,3,40,Control,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",christianswhoownguns,,,1,5,2
133,1,18,3,41,Control,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,theyhitpedestrians,,,2,5,2
133,1,18,3,42,Changed_NR,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,,,,B,1,2
133,1,18,3,43,Control,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,autoimmunedisease,,,2,5,2
133,1,18,3,44,Changed_NR,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",lessthanothers,morethanothers,1,2,6,1
133,1,18,3,45,Control,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,,,,B,1,2
133,1,18,3,46,Changed_R,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",60,morethan36,1,2,6,1
133,1,18,3,47,Repeated,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,unlikely,,,2,6,2
133,1,18,3,48,Changed_NR,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1980,,,2,5,2
133,1,18,3,49,Changed_NR,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,,0,B,B,1,1
133,1,18,3,50,Control,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,1,2
133,1,18,3,51,Repeated,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,,,,B,1,2
133,1,18,3,52,Repeated,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,wind,,,1,3,2
133,1,18,3,53,Changed_NR,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",,,,B,2,2
133,1,18,3,54,Control,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,,,,B,2,2
133,1,18,3,55,Changed_R,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",berniesanders,0,B,2,6,1
133,1,18,3,56,Repeated,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,half,,,E,4,2
133,1,18,3,57,Control,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",,,,B,1,2
133,1,18,3,58,Control,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,,,,B,1,2
133,1,18,3,59,Repeated,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,25,,,2,5,2
133,1,18,3,60,Changed_R,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,1928,1,2,6,1
134,2,27,3,1,Changed_R,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,Governersdelayofresponse,CausebyFlood,1,2,6,1
134,2,27,3,2,Control,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,PlannedParenhoodandtheNRA,,,E,3,2
134,2,27,3,3,Changed_NR,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,All,Onlelderlypeopleshouldreceivethefluvaccine,1,2,6,1
134,2,27,3,4,Control,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",Iconsumesmorethanitcreates,,,2,6,2
134,2,27,3,5,Control,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,cities,,,2,6,2
134,2,27,3,6,Repeated,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,BillClinton,,,2,5,2
134,2,27,3,7,Repeated,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,Dairy,,,E,4,2
134,2,27,3,8,Changed_NR,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,economicfallout,0,B,2,5,1
134,2,27,3,9,Changed_R,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,TheySuedtopreventit,Thwantedtobuildthewallaroundtheirstate,1,2,6,1
134,2,27,3,10,Repeated,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,3040,,,E,3,2
134,2,27,3,11,Changed_NR,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,Olympic,NFLplayers,1,2,6,1
134,2,27,3,12,Changed_NR,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,BillClinton,DonaldTrump,1,2,5,1
134,2,27,3,13,Changed_R,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,13billionish,340million,E,2,5,1
134,2,27,3,14,Changed_R,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,Theycauseautism,,,1,3,2
134,2,27,3,15,Control,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,17,,,2,5,2
134,2,27,3,16,Repeated,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,,,2,4,2
134,2,27,3,17,Control,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,Fluvaccine,,,2,2,2
134,2,27,3,18,Control,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,Allschoolsshouldhavesuppliebutitfavorsschoolsinrepublicandistricts,,,2,4,2
134,2,27,3,19,Changed_NR,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,Itdoesnotincreasetherethesnowismelting,Snowincreasestherateitmelts,2,2,4,1
134,2,27,3,20,Repeated,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,simulatinghittingaperson,,,2,3,2
134,2,27,3,21,Repeated,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",Anasteroid,,,2,3,2
134,2,27,3,22,Repeated,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",Christiansthatownedguncompanies,,,2,5,2
134,2,27,3,23,Repeated,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11million,,,2,6,2
134,2,27,3,24,Changed_NR,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,Hewouldnotberunning,Hewouldberunning,1,2,4,1
134,2,27,3,25,Control,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,,,2,4,2
134,2,27,3,26,Repeated,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,Autoimmunedisease,,,2,6,2
134,2,27,3,27,Changed_NR,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,Everyyea,Thhadnotreceivedpayraises,1,2,5,1
134,2,27,3,28,Changed_NR,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,Droppedby24,0,B,2,5,1
134,2,27,3,29,Changed_NR,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,Itincreased,,,E,6,2
134,2,27,3,30,Repeated,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,Withawarrent,,,2,5,2
134,2,27,3,31,Repeated,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15,,,2,5,2
